0,1,2,3,4,5,6,7,8,9
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2023-08-01,优,37,0,16,33,5,19,0.53,77
2023-08-02,优,38,0,17,35,5,21,0.56,76
2023-08-03,优,37,0,13,30,5,18,0.47,88
2023-08-04,优,44,0,14,37,5,24,0.50,85
2023-08-05,良,52,0,14,38,5,22,0.51,105
2023-08-06,优,34,0,16,34,5,20,0.58,66
2023-08-07,优,32,0,18,32,5,19,0.60,57
2023-08-08,优,41,0,22,40,5,17,0.63,73
2023-08-09,优,50,0,28,51,5,16,0.68,96
2023-08-10,良,57,0,33,58,5,19,0.66,102
2023-08-11,良,53,0,32,61,5,23,0.67,74
2023-08-12,优,34,0,9,21,5,11,0.43,103
2023-08-13,良,54,0,15,41,6,25,0.49,100
2023-08-14,良,52,0,22,46,6,25,0.55,98
2023-08-15,优,49,0,22,43,6,19,0.55,108
2023-08-16,良,65,0,27,52,6,26,0.59,110
2023-08-17,轻度污染,116,0,52,182,6,20,0.43,86
2023-08-18,良,60,0,24,71,7,22,0.45,77
2023-08-19,良,64,0,24,70,7,28,0.52,97
2023-08-20,优,30,0,15,30,5,13,0.51,68
2023-08-21,优,34,0,13,26,5,15,0.59,92
2023-08-22,良,60,0,20,56,6,27,0.56,99
2023-08-23,优,39,0,16,39,5,24,0.50,79
2023-08-24,优,47,0,22,44,6,23,0.58,81
2023-08-25,良,53,0,29,56,6,27,0.64,59
2023-08-26,优,31,0,14,24,5,11,0.55,66
2023-08-27,优,22,0,6,12,5,13,0.65,65
2023-08-28,优,37,0,15,29,5,22,0.74,74
2023-08-29,优,44,0,16,34,6,25,0.68,84
2023-08-30,良,54,0,18,39,6,27,0.62,97
2023-08-31,良,52,0,20,45,6,33,0.59,84
