0,1,2,3,4,5,6,7,8,9
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2024-01-01,轻度污染,119,244,90,134,7,51,1.07,22
2024-01-02,轻度污染,105,208,73,113,6,45,0.94,30
2024-01-03,良,77,212,52,96,6,50,0.94,30
2024-01-04,良,93,274,69,110,6,61,0.98,24
2024-01-05,轻度污染,110,284,83,128,7,67,1.14,20
2024-01-06,良,80,179,52,95,6,53,0.88,25
2024-01-07,良,77,200,48,96,8,48,0.92,16
2024-01-08,轻度污染,130,273,98,150,9,73,1.38,11
2024-01-09,轻度污染,112,216,77,130,6,62,1.06,25
2024-01-10,良,91,194,64,124,8,56,1.01,20
2024-01-11,轻度污染,126,220,95,157,7,80,1.33,14
2024-01-12,中度污染,186,271,141,192,8,83,1.55,20
2024-01-13,重度污染,238,279,188,230,8,79,1.60,31
2024-01-14,轻度污染,150,243,106,170,6,52,1.07,35
2024-01-15,轻度污染,112,252,83,113,5,36,1.00,22
2024-01-16,良,94,252,69,71,3,36,0.96,13
2024-01-17,轻度污染,111,270,84,80,3,39,1.05,12
2024-01-18,中度污染,153,300,116,126,4,40,1.31,14
2024-01-19,轻度污染,108,293,81,88,3,34,1.37,13
2024-01-20,轻度污染,112,301,84,91,4,38,1.32,18
2024-01-21,良,55,212,34,53,4,19,0.55,50
2024-01-22,优,21,41,10,20,5,14,0.39,60
2024-01-23,优,37,150,22,36,6,31,0.53,40
2024-01-24,良,58,237,41,59,5,38,0.62,38
2024-01-25,良,66,226,47,68,7,46,0.68,34
2024-01-26,良,89,264,66,96,8,54,0.80,35
2024-01-27,良,97,247,72,112,7,58,0.89,32
2024-01-28,轻度污染,109,260,82,128,9,60,1.03,33
2024-01-29,轻度污染,142,289,108,146,10,64,1.33,32
2024-01-30,中度污染,197,292,149,182,10,64,1.45,37
2024-01-31,重度污染,237,295,187,217,7,63,1.67,13
